"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
29,"NCT04155996","Data Acquisition Study in Inadequately Balanced Patients With Type 2 Diabetes Mellitus",,"Recruiting","No Results Available","Type2 Diabetes","Device: data collection","Data collection - Blood glucose levels|Data collection - Number of steps|Data collection - Sleep hours|Data collection - Daily meals information|Data collection - Physical activity information|Data collection - Medical treatment information","ValoTec|APHP","All","35 Years and older   (Adult, Older Adult)",,"20","Industry|Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","VTC-MLS-EC01","January 20, 2019","December 31, 2019","December 31, 2019","November 7, 2019",,"November 13, 2019","GH Pitié Salpêtrière Charles Foix, Paris, Ile De France, France",,"https://ClinicalTrials.gov/show/NCT04155996"
30,"NCT04181424","Lowering the Impact of Food Insecurity in African American Adults With Type 2 Diabetes Mellitus (LIFT-DM)","LIFT-DM","Active, not recruiting","No Results Available","Type 2 Diabetes","Behavioral: Diabetes Education Plus Monthly Food Vouchers|Behavioral: Diabetes Education Plus Combination of Monthly Food Vouchers and Stock Boxes|Behavioral: Diabetes Education Only|Behavioral: Diabetes Education Plus Monthly Stock Boxes","Glycemic control (HbA1c)|Quality of Life as measured by the SF-12|LDL-Cholesterol|Blood Pressure","Medical College of Wisconsin","All","21 Years and older   (Adult, Older Adult)","Not Applicable","300","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Health Services Research","5R01MD013826","December 15, 2019","December 31, 2023","December 31, 2023","November 29, 2019",,"May 6, 2020","Medical College of Wisconsin, Milwaukee, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04181424"
31,"NCT03982238","Effects of Hypoglycemic Drugs on Testosterone Levels in Type 2 Diabetes Patients",,"Completed","No Results Available","Type 2 Diabetes","Drug: Insulin|Drug: Metformin|Drug: Dapagliflozin","total testosterone levels|bioavailable testosterone|free testosterone","Majianhua|Nanjing First Hospital, Nanjing Medical University","Male","18 Years to 60 Years   (Adult)","Phase 4","74","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","KY20190530-12","June 15, 2019","November 15, 2019","December 31, 2019","June 11, 2019",,"April 3, 2020","Nanjing First Hospital, Nanjing, China",,"https://ClinicalTrials.gov/show/NCT03982238"
32,"NCT04031417","Effect of a Simulated Flight in Patients With Type 2 Diabetes and Healthy Volunteers","FlyBar","Completed","No Results Available","Type 2 Diabetes","Other: Hypoxia|Other: Low Humidity","Hypoxia and low humidity on the endothelial function in healthy volunteers and patients with type 2 diabetes using Wilcoxon signed rank test","Hull University Teaching Hospitals NHS Trust","All","45 Years to 75 Years   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","R1276","March 2013","January 2014","January 2015","July 24, 2019",,"July 24, 2019",,,"https://ClinicalTrials.gov/show/NCT04031417"
33,"NCT03861052","A Study of Tirzepatide (LY3298176) Compared to Dulaglutide in Participants With Type 2 Diabetes","SURPASS J-mono","Active, not recruiting","No Results Available","Type 2 Diabetes","Drug: Tirzepatide|Drug: Dulaglutide","Change from Baseline in Hemoglobin A1c (HbA1c)|Percentage of Participants with HbA1c of <7.0%|Change from Baseline in Fasting Serum Glucose|Change from Baseline in Average 7-Point Self-Monitored Blood Glucose (SMBG) Values|Change from Baseline in Body Weight|Percentage of Participants who Achieve Weight Loss ≥5% from Baseline|Change from Baseline in Fasting Insulin|Change from Baseline in Fasting C-Peptide|Change from Baseline in Homeostasis Model Assessment B (HOMA-2B)|Change from Baseline in HOMA-2S|Rate of Total Hypoglycemia|Number of Participants with Anti-Tirzepatide Antibodies","Eli Lilly and Company","All","20 Years and older   (Adult, Older Adult)","Phase 3","636","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","17077|I8F-JE-GPGO","May 7, 2019","March 17, 2021","April 14, 2021","March 4, 2019",,"April 22, 2020","Medical corporation THY Tokuyama Clinic, Chiba Mihama-ku, Chiba, Japan|Akaicho Clinic, Chiba-shi, Chiba, Japan|National Hospital Organization Kure Medical Center, Kure, Hiroshima, Japan|Hasegawa Medicine Clinic, Chitose, Hokkaido, Japan|Yuri Ono Clinic, Sapporo, Hokkaido, Japan|Watanabe Naika Clinic, Nishinomiya, Hyogo, Japan|Hayashi Clinic, Nishinomiya, Hyogo, Japan|Naka Memorial Clinic, Naka, Ibaraki, Japan|Hayashi Diabetes Internal Medicine, Chigasaki-sh, Kanagawa, Japan|Matoba Diabetes Clinic, Ebina, Kanagawa, Japan|Takai Naika Clinic, Kamakura, Kanagawa, Japan|Kanto Rosai Hospital, Kawasaki, Kanagawa, Japan|Yokohama Minoru Clinic, Yokohama, Kanagawa, Japan|H.E.C. Science Clinic, Yokohama, Kanagawa, Japan|OCROM Clinic, Suita, Osaka, Japan|Takatsuki Red Cross Hospital, Takatsuki, Osaka, Japan|Senrichuo Ekimae Clinic, Toyonaka, Osaka, Japan|Asano Clinic, Kawagoe, Saitama, Japan|Kawaguchi General Hospital, Kawaguchi, Saitama, Japan|Wakakusa Clinic, Shimotsuke, Tochigi, Japan|Seiwa Clinic, Adachi-ku, Tokyo, Japan|Meiwa Hospital, Chiyodaku, Tokyo, Japan|HDC Atlas Clinic, Chiyoda, Tokyo, Japan|Asahi Life Foundation Adult Disease Research Center, Chuo-ku, Tokyo, Japan|Nihonbashi Sakura Clinic, Chuo-ku, Tokyo, Japan|Tokyo-Eki Center-building Clinic, Chuo-ku, Tokyo, Japan|Tokyo Center Clinic, Chuo-ku, Tokyo, Japan|Tokyo Clinical Trial Centre Fukuwa Clinic, Chuo-ku, Tokyo, Japan|IHL Shinagawa East One Medical Clinic, Minato-ku, Tokyo, Japan|Sato Naika Clinic, Ota-ku, Tokyo, Japan|Medical Corporation Heishinkai ToCROM Clinic, Shinjuku-ku, Tokyo, Japan|Tomonaga Clinic, Shinjuku-ku, Tokyo, Japan|Shinjuku Research Park Clinic, Shinjuku-Ku, Tokyo, Japan|Shinei Clinic, Suginami, Tokyo, Japan|Ikebukuro Metropolitan Clinic, Toshima-ku, Tokyo, Japan|Futata Tetsuhiro Clinic, Fukuoka, Japan|JR Hiroshima Hospital, Hiroshima, Japan|Yoshimura Clinic, Kumamoto, Japan|Keiseikai Kajiyama Clinic, Kyoto, Japan|Abe Diabetes Clinic, Oita, Japan|OKAYAMA Medical Center, Okayama, Japan|AMC nishi-umeda clinic, Osaka, Japan|Kitada Clinic, Osaka, Japan|Nanko Clinic, Osaka, Japan|Suruga Clinic, Shizuoka, Japan",,"https://ClinicalTrials.gov/show/NCT03861052"
34,"NCT04105608","GLP-1 and Oxyntomodulin Release in Relation to Diet in Type 2 Diabetes Patients.","VAS","Completed","No Results Available","Type-2 Diabetes","Dietary Supplement: High-fiber vegetarian meal|Dietary Supplement: Mediterranean-like meal","Changes in serum GLP-1 concentration|Changes in plasma oxyntomodulin concentration|Serum glucose and insulin levels|Hunger-satiety scores (millimeters)","Antonio Di Mauro|Campus Bio-Medico University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","12","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","08/2017","November 1, 2017","December 1, 2017","February 28, 2018","September 26, 2019",,"September 26, 2019","Campus Bio-Medico University of Rome, Rome, Italy",,"https://ClinicalTrials.gov/show/NCT04105608"
35,"NCT04092569","Effectiveness of Pre-medical Consultation Diabetes Self-care Education Programme on Glycemic Control in Type 2 Diabetes","PMC-SEP","Recruiting","No Results Available","Type 2 Diabetes","Behavioral: Pre-medical consultation structured diabetes self-care education programme","Change from Baseline Blood Glycosylated haemoglobin, HbA1c at 6 months|Change from Baseline Blood Glycosylated haemoglobin, HbA1c at 9 months|The Chinese version of the Diabetes Management Self-Efficacy Scale Questionnaire|The Chinese version of the Diabetes Empowerment Scale Questionnaire - Short Form","Chinese University of Hong Kong","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","2019.255","September 10, 2019","December 31, 2020","December 31, 2020","September 17, 2019",,"September 25, 2019","Diabetes Centre, Alice Ho Miu Ling Nethersole Hospital, Tai Po, New Territories, Hong Kong",,"https://ClinicalTrials.gov/show/NCT04092569"
36,"NCT03883412","Effect of Exercise and/or Liraglutide on Vascular Dysfunction and Insulin Sensitivity in Type 2 Diabetes ( ZQL007)","ZQL007","Recruiting","No Results Available","Type2 Diabetes","Other: Exercise|Drug: Liraglutide","Microvascular Blood Volume - change from baseline|Augmentation Index - change from baseline|Flow Mediated Dilation - change from baseline|Pulse Wave Velocity - change from baseline|Post Ischemic Flow Velocity-Change from baseline|Insulin Sensitivity-Change from baseline","University of Virginia|American Diabetes Association|National Institutes of Health (NIH)","All","21 Years to 60 Years   (Adult)","Phase 4","60","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20320","February 28, 2019","March 2022","March 2022","March 20, 2019",,"March 20, 2019","University of Virginia, Charlottesville, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT03883412"
37,"NCT04025281","Post-prandial Effects of Extra Virgin Olive Oil on Endothelial Function in Adults at Risk for Type 2 Diabetes",,"Completed","No Results Available","Type 2 Diabetes","Other: Extra Virgin Olive Oil|Other: Refined Olive Oil","Endothelial Function (EF) Assessment|Office Blood Pressure","Griffin Hospital","All","25 Years to 75 Years   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","2018-12","July 9, 2019","August 22, 2019","August 22, 2019","July 18, 2019",,"March 30, 2020","Yale-Griffin Prevention Research Center, Derby, Connecticut, United States",,"https://ClinicalTrials.gov/show/NCT04025281"
38,"NCT04057677","Exercise Training as an Intervention to Improve Muscle Function and Recovery Following Bed Rest in Older Adults With Type 2 Diabetes","RECOVER","Recruiting","No Results Available","Type 2 Diabetes","Other: Bed Rest Intervention|Other: Resistance Exercise Program","Change in leg lean mass measured at 5 time points|Change in protein synthesis rate assessed in muscle biopsy specimens using deuterium oxide, and also a mathematical model|Change in mitochondrial respiration measured in permeabilized muscle fibers using the Oxygraph 2K system","Translational Research Institute for Metabolism and Diabetes, Florida","All","60 Years to 80 Years   (Adult, Older Adult)","Not Applicable","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","1461891","December 20, 2019","May 2023","May 2023","August 15, 2019",,"March 10, 2020","AdventHealth Translational Research Institute, Orlando, Florida, United States","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/77/NCT04057677/ICF_000.pdf","https://ClinicalTrials.gov/show/NCT04057677"
39,"NCT03982381","SGLT2 Inhibitor or Metformin as Standard Treatment of Early Stage Type 2 Diabetes","SMARTEST","Recruiting","No Results Available","Type 2 Diabetes","Drug: Metformin|Drug: Dapagliflozin 10 MG","Time to first occurence of a confirmed composite endpoint of death, myocardial infarction, stroke, heart failure, diabetic nephropathy, retinopathy or foot ulcer.|Ordinal analysis of components of primary endpoint (see above)|Time to first occurence of a confirmed composite endpoint of death, myocardial infarction, stroke, heart failure, diabetic nephropathy, retinopathy or foot ulcer (ICD10 diagnosis codes) or initiation of insulin treatment.|Time to first occurence of a confirmed composite endpoint of non-fatal myocardial infarction, stroke, heart failure, unstable angina or cardiovascular death.|Time to first occurence of a confirmed composite endpoint of heart failure or cardiovascular death.|Death|Microvascular events, first of; occurrence or progression of retinopathy, nephropathy, diabetic foot lesions|Need for insulin treatment|Treatment failure, defined as add-on or switch to another glucose-lowering drug|Change in glycemic control|Change in LDL-cholesterol|Change in HDL-cholesterol|Change in total cholesterol|Change in triglycerides|Change in albuminuria|Change in blood pressure|Change in body weight|Change in BMI|Health care costs|Health-related quality of life|Health-related quality of life with respect to diabetes treatment satisfaction.","Uppsala University|Uppsala University Hospital|Swedish Healthcare Regions|Swedish National Board of Health and Welfare|The Swedish National Diabetes Register","All","18 Years and older   (Adult, Older Adult)","Phase 4","4300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","SMART-2019|2019-001046-17","September 5, 2019","December 31, 2023","September 20, 2024","June 11, 2019",,"March 24, 2020","Uppsala University Hospital, Uppsala, Sweden",,"https://ClinicalTrials.gov/show/NCT03982381"
40,"NCT04001231","Study of Exenatide Once-Weekly Suspension in Chinese Patients With Type 2 Diabetes Mellitus",,"Withdrawn","No Results Available","Type 2 Diabetes","Drug: Exenatide Once-Weekly Suspension","Plasma concentrations versus time profile of exenatide|Cmax|tmax|AUC(0-8h)|AUC(0-168h)|AUCτ,ss|Cav,ss|λ z|t½|CL/F|Vss/F|Rac|Ctrough|Electrocardiograms (ECGs)|Blood pressure (BP)|Pulse rate|Body temperature|Safety and tolerability as determined by abnormality in clinical chemistry compared to baseline.|Safety and tolerability as determined by abnormality in hematology compared to baseline.|Safety and tolerability as determined by abnormality in urinalysis compared to baseline.|Fasting blood glucose|Calcitonin|Number of subjects with adverse events|The presence and titer of anti-exenatide antibodies","AstraZeneca","All","20 Years to 75 Years   (Adult, Older Adult)","Phase 1","0","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","D5553C00008","June 30, 2020","July 2, 2021","July 2, 2021","June 28, 2019",,"June 4, 2020",,,"https://ClinicalTrials.gov/show/NCT04001231"
