"Rank","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Other IDs","First Posted","Locations","URL"
401,"Tesetaxel Plus Reduced Dose of Capecitabine in Patients With HER2 Negative, HR Positive, LA/MBC","Recruiting","No Results Available","Breast Cancer","Drug: Tesetaxel|Drug: Capecitabine","Odonate Therapeutics, Inc.","ODO-TE-B201","March 1, 2019","Innovative Clinical Research Institute, Whittier, California, United States|Rocky Mountain Cancer Center, Lakewood, Colorado, United States|Sarah Cannon Research Institute - Florida Cancer Specialists, Fort Myers, Florida, United States|Florida Cancer Specialists and Research Institute, Saint Petersburg, Florida, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|New York Cancer and Blood Specialists, East Setauket, New York, United States|West Cancer Center, Germantown, Tennessee, United States|Texas Oncology - Baylor Charles A. Sammons Cancer Center, Dallas, Texas, United States|Virginia Oncology Associates, Norfolk, Virginia, United States|Border Medical Oncology, Albury, New South Wales, Australia|Hopital Maisonneuve-Rosemont, Montréal, Canada|Center Hospitalier de Montreal CHUM McPeak Sirois, Montréal, Canada|CIUSSS de Centre-Ouest-de-l'Île-de-Montréal Jewish General Hospital, Montréal, Canada|McGill University Health Center, Montréal, Canada|CHU de Quebec-University Laval, Québec, Canada|Centre Hospitalier Universitaire de Sherbrooke CIUSSS de lEstrie CHUS patyre, Sherbrooke, Canada|Kyungpook National University Hospital, Daegu, Korea, Republic of|National Cancer Center, Goyang, Korea, Republic of|Gangnam Severance Hospital, Seoul, Korea, Republic of|Asan Medical Center, Seoul, Korea, Republic of|Ajou University Hospital, Suwon, Korea, Republic of|Hospital Teresa Herrera Materno-Infantil (CHUAC), A Coruña, Spain|Fundacion Jimenez Diaz, Madrid, Spain|National Taiwan University Hospital, Taipei City, Taiwan|Koo Foundation Sun Yat-Sen Cancer Center, Taipei, Taiwan","https://ClinicalTrials.gov/show/NCT03858972"
402,"Evaluation of IPI-549 Combined With Front-line Treatments in Pts. With Triple-Negative Breast Cancer or Renal Cell Carcinoma (MARIO-3)","Recruiting","No Results Available","Breast Cancer|Renal Cell Carcinoma","Drug: IPI-549|Drug: Atezolizumab|Drug: nab-paclitaxel|Drug: Bevacizumab","Infinity Pharmaceuticals, Inc.|Roche Pharma AG","IPI-549-03","May 23, 2019","Arizona Oncology Associates, Tucson, Arizona, United States|Arizona Clinical Research Center, Tucson, Arizona, United States|Pacific Cancer Care, Monterey, California, United States|Sharp Memorial Hospital, San Diego, California, United States|UCLA, Santa Monica, California, United States|University of Colorado, Aurora, Colorado, United States|Moffitt Cancer Center, Tampa, Florida, United States|Cancer Center of Kansas, Wichita, Kansas, United States|Tennessee Oncology, Nashville, Tennessee, United States|UT Health East Texas HOPE Cancer Center, Tyler, Texas, United States|Utah Cancer Specialists, Salt Lake City, Utah, United States","https://ClinicalTrials.gov/show/NCT03961698"
403,"Parsaclisib in Newly Diagnosed Stage I-IIIC Triple Negative or HER2+ Breast Cancer","Not yet recruiting","No Results Available","Breast Cancer|Breast Neoplasms|Triple Negative Breast Cancer|HER2-positive Breast Cancer","Drug: Parsaclisib","UNC Lineberger Comprehensive Cancer Center|Incyte Corporation","LCCC1820","October 29, 2019",,"https://ClinicalTrials.gov/show/NCT04142554"
404,"Neoadjuvant Letrozole and Palbociclib in Patients With Stage II-IIIB Breast Cancer, HR+, HER2 -","Completed","No Results Available","Breast Cancer","Drug: Pre treatment Recurrence Score:18-25 Letrozole + Palbociclib|Drug: Pre treatment Recurrence Score:26-100 Letrozole + Palbociclib","MedSIR|Pfizer","MedOPP199","January 28, 2019","Hospital da Luz, Lisboa, Portugal|Hospital Fernando Fonseca, Lisboa, Portugal|Portuguese Institute of Oncology of Oporto, Oporto, Portugal|ICO Badalona, Badalona, Barcelona, Spain|ICO l'Hospitalet, L'Hospitalet de Llobregat, Barcelona, Spain|Hospital de Jaén, Jaen, Jaén, Spain|Complejo Hospitalario Universitario A Coruña (CHUAC), A Coruña, Spain|H. Vall Hebrón, Barcelona, Spain|Hospital del Mar, Barcelona, Spain|Hospital Reina Sofia, Cordoba, Spain|Onkologikoa, Donostia, Spain|Hospital Arnau de Vilanova, Lleida, Spain|Hospital Ramón y Cajal, Madrid, Spain|Hospital Universitario Virgen del Rocío, Sevilla, Spain|Instituto Valenciano de Oncologia, Valencia, Spain|Hospital Arnau de Vilanova de Valencia, Valencia, Spain|Hospital Clinico Universitario de Valencia, Valencia, Spain|Hospital Miguel Servet, Zaragoza, Spain","https://ClinicalTrials.gov/show/NCT03819010"
405,"A Web-Based Tool to Improve Breast Cancer Survivorship","Recruiting","No Results Available","Breast Cancer|Hormone Dependent Neoplasms|Adherence to Hormone Therapy","Behavioral: ""OncoTool"" Intervention (MBSR + HT education)|Behavioral: ""Oncotool"" Control (health +HT education)","Northwestern University","STU00206180","February 21, 2019","Northwestern University, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT03849573"
406,"Acupuncture for Insomnia in Breast Cancer Patients Undergoing Chemotherapy","Recruiting","No Results Available","Insomnia, Secondary|Breast Cancer Female|Chemotherapy","Procedure: Electroacupuncture (EA) and Auricular Acupressure (AA)|Procedure: Sham Electroacupuncture (SE) and Sham Auricular Acupressure (SA)","The University of Hong Kong","UW 19-045","October 30, 2019","Department of Clinical Oncology, Queen Mary Hospital, Hong Kong, Hong Kong|Hong Kong Sanatorium & Hospital, Hong Kong, Hong Kong","https://ClinicalTrials.gov/show/NCT04144309"
407,"REJOIN Trial for Older Breast Cancer Survivors","Recruiting","No Results Available","Breast Cancer Female","Behavioral: Relieving Joint Pain and Improving AI Adherence in Older Breast Cancer Survivors (REJOIN)","Milton S. Hershey Medical Center|American Cancer Society, Inc.","STUDY00010776","May 20, 2019","Penn State Cancer Institute, Hershey, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT03955627"
408,"A Study of HER2+ Breast Cancer Patients With Active Brain Metastases Treated With Afatinib & T-DM1 vs. T-DM1 Alone","Recruiting","No Results Available","HER2-positive Breast Cancer|Brain Metastases","Drug: Afatinib|Drug: T-DM1","xuexin he|Second Affiliated Hospital, School of Medicine, Zhejiang University","HER2BAT","November 12, 2019","Peking University International Hospital, Beijing, Beijing, China|Sun Yat-sen University Cancer Center (SYSUCC), Guangzhou, Guangdong, China|Kiang Wu Hospital, Macao, Macao, China|The Second Affiliated Hospital of Zhejiang University School of Medicine (SAHZU), Hangzhou, Zhejiang, China","https://ClinicalTrials.gov/show/NCT04158947"
409,"Evaluation in the Treatment of Neuropathic Pain Post Breast Surgery","Recruiting","No Results Available","Breast Cancer Patient","Drug: Capsaicin|Drug: Pregabalin","Institut Cancerologie de l'Ouest|Grünenthal GmbH","ICO-A-2018-10","January 7, 2019","Institut de Cancerologie de L'Ouest, Angers, France|Chu Grenoble, Grenoble, France|Chd Vendee, La Roche-sur-Yon, France|Centre Oscar Lambret, Lille, France|Hopital Saitn Vincent de Paul, Lille, France|Centre Leon Berard, Lyon, France|CHU NICE, Nice, France|Institut Jean Godinot, Reims, France|Institut Curie, Saint-Cloud, France|Iuct Oncopole, Toulouse, France|Ch Valenciennes, Valenciennes, France","https://ClinicalTrials.gov/show/NCT03794388"
410,"Late-term Effects of Hypofractionated Chest Wall and Regional Nodal Irradiation in Patients With Breast Cancer","Completed","No Results Available","Late Effects of Hypofractionated Radiotherapy in Breast Cancer","Radiation: Hypofractionated radiotherapy","Postgraduate Institute of Medical Education and Research","LEHR","November 25, 2019",,"https://ClinicalTrials.gov/show/NCT04175821"
411,"Effects of a Physical Exercise Program in Quality of Life of Breast Cancer Survivors","Recruiting","No Results Available","Breast Cancer|Quality of Life|Physical Exercise","Other: Physical exercise program","Associacao de Investigacao de Cuidados de Suporte em Oncologia|Centro Hospitalar de Vila Nova de Gaia/Espinho|Aveiro University|University Institute of Maia","MAMA_MOVE_Gaia After Treatment","July 18, 2019","Centro Hospitalar de Vila Nova de Gaia/Espinho, Vila Nova de Gaia, Oporto, Portugal","https://ClinicalTrials.gov/show/NCT04024280"
412,"Effects of Bariatric Surgery on Breast Density Improvement and Impact on Breast Cancer Risk in Severe Obese Patients","Not yet recruiting","No Results Available","Breast Cancer|Morbid Obesity|Bariatric Surgery Candidate","Procedure: Bariatric surgery","The Cleveland Clinic","FLA 18-057","November 20, 2019",,"https://ClinicalTrials.gov/show/NCT04170335"
413,"Copanlisib in Combination With T-DM1 in Pretreated Unresectable Locally Advanced or Metastatic HER2-positive Breast Cancer","Recruiting","No Results Available","HER2-positive Breast Cancer|Metastatic Breast Cancer|Locally Advanced Breast Cancer|Unresectable Breast Cancer","Drug: Copanlisib|Drug: Trastuzumab emtansine","Cancer Trials Ireland","CTRIAL-IE 17-13","August 1, 2019","Cancer Trials Ireland Investigative Site, Cork, Ireland|Cancer Trials Ireland Investigative Site, Dublin 4, Ireland|Cancer Trials Ireland Investigative Site, Dublin 9, Ireland|Cancer Trials Ireland Investigative Site, Seville, Spain","https://ClinicalTrials.gov/show/NCT04042051"
414,"Real-Time MRI-Guided 3-Fraction Accelerated Partial Breast Irradiation in Early Breast Cancer","Suspended","No Results Available","Breast Cancer|DCIS|LCIS","Radiation: MRIdian Radiation Treatment Unit","University of Wisconsin, Madison","UW18099|2019-0322|SMPH\HUMAN ONCO\HUMAN ONCO|A533300|NCI-2019-03111|Protocol Version 3/10/2020","May 3, 2019","University of Wisconsin Carbone Cancer Center, Madison, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT03936478"
415,"Impact of Intensive Follow-up for Bone Metastasis on Characteristics and Prognosis of Chinese Breast Cancer Patients","Completed","No Results Available","Breast Cancer|Bone Metastases","Diagnostic Test: Intensive screening / routine screening","Peking University People's Hospital|Fudan University|Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University|Sun Yat-sen University|Harbin Medical University","20160504","April 23, 2019","Peking University People's Hospital, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT03924609"
416,"Safety and Performance of the Multi-Modal UltraSound Tomography (MUST) Device in Breast Cancer Screening","Recruiting","No Results Available","Breast Cancer Screening","Device: MUST device","Transonic Imaging, Inc.","MUST-02-001","September 25, 2019","Beth Israel Deaconess Medical Center BreastCare Center, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04102722"
417,"PET/MR in Surgical Planning for Breast CA Treated With Neoadj Chemo","Terminated","Has Results","Breast Cancer","Diagnostic Test: PET/MR","UNC Lineberger Comprehensive Cancer Center","LCCC 1716","November 4, 2019","UNC- Chapel Hill, Chapel Hill, North Carolina, United States","https://ClinicalTrials.gov/show/NCT04149353"
418,"Text Messaging in Patients on Adjuvant Endocrine Therapy for Breast Cancer","Recruiting","No Results Available","Breast Cancer|Adherence, Medication|Side Effect","Behavioral: BETA-Text text messaging intervention","Yale University","2000024495","May 14, 2019","Yale Cancer Center, New Haven, Connecticut, United States","https://ClinicalTrials.gov/show/NCT03949270"
419,"LASER and Radiofrequency for Treatment of Vaginal Vulvar Atrophy (VVA) in Women Treated for Breast Cancer (EPMLARF-arm2)","Recruiting","No Results Available","Vaginal Atrophy|Vulva; Atrophy|Breast Cancer","Procedure: LASER|Procedure: Micro Ablative Radiofrequency|Drug: Promestriene","Federal University of São Paulo|Fundação de Amparo à Pesquisa do Estado de São Paulo","CEP0431/2018 arm 2","September 9, 2019","Federal University of Sao Paulo - Unifesp, São Paulo, SP, Brazil","https://ClinicalTrials.gov/show/NCT04081805"
420,"Pyrotinib Maleate Tablets Combined With Albumin Paclitaxel and Trastuzumab for Her2-positive Breast Cancer","Recruiting","No Results Available","Breast Cancer|HER2 Positive|Combination Chemotherapy","Drug: Pyrotinib Maleate Tablets|Drug: Albumin Paclitaxel|Drug: Trastuzumab","West China Hospital|Jiangsu HengRui Medicine Co., Ltd.","BLTN-NeoBC1115","November 5, 2019","West China Hospital, Sichuan University, Chengdu, Chengdu, Sichuan, China, China","https://ClinicalTrials.gov/show/NCT04152057"
421,"68-Ga-RM2 PET/MRI in Imaging Patients With Estrogen Receptor-Positive Breast Cancer","Recruiting","No Results Available","Breast Carcinoma|Estrogen Receptor Positive","Drug: Gallium Ga 68-labeled GRPR Antagonist BAY86-7548|Procedure: Magnetic Resonance Imaging|Procedure: Positron Emission Tomography|Device: Investigational software and coils in PET/MR scan","Andrei Iagaru|General Electric|Stanford University","IRB-48150|NCI-2019-00237|BRS0098","February 6, 2019","Stanford Cancer Institute Palo Alto, Palo Alto, California, United States","https://ClinicalTrials.gov/show/NCT03831711"
422,"Adj. Marker-adjusted Personalized Therapy Comparing ET+Ribociclib vs Chemotherapy in Intermediate Risk, HR+/HER2- EBC","Recruiting","No Results Available","Breast Cancer Female","Drug: Ribociclib 200Mg Oral Tablet","West German Study Group|Novartis|Genomic Health®, Inc.","WSG-AM08","August 13, 2019","Klinikum der Universität München Klinik und Poliklinik für Frauenheilkunde und Geburtshilfe, Brustzentrum, Munich, Bavaria, Germany|Universitätsklinikum Aachen, Frauenklinik - Senologie, Aachen, NRW, Germany|Kliniken Essen-Mitte, Klinik für Senologie/Interdisziplinäres Brustzentrum, Essen, NRW, Germany|Praxis für gynäkologische Onkologie am Ev. Krankenhaus Bethesda, Moenchengladbach, NRW, Germany","https://ClinicalTrials.gov/show/NCT04055493"
423,"Omitting Biopsy of SEntinel Lymph Node With Radiation After Neoadjuvant Chemotherapy in Breast Cancer (OBSERB) Trial","Not yet recruiting","No Results Available","Breast Neoplasm Female|Lymphatic Metastasis","Procedure: Radiotherapy","Kyungpook National University Chilgok Hospital|Korean Breast Cancer Study Group","2019-09-023","October 4, 2019",,"https://ClinicalTrials.gov/show/NCT04116125"
424,"Photoacoustic Lymph Node Imaging","Enrolling by invitation","No Results Available","Breast Cancer","Diagnostic Test: Spectroscopic photoacoustic imaging","Geoff Luke|Dartmouth College|Dartmouth-Hitchcock Medical Center","D18155","April 30, 2019","Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire, United States","https://ClinicalTrials.gov/show/NCT03931655"
425,"The SONImage Study","Recruiting","No Results Available","Breast Cancer","Other: FES-PET scan, and possibly one additional visit for an FDG-PET","University Medical Center Groningen|Dutch Cancer Society|BOOG Study Center","201900572","October 14, 2019","VU Medical Center, Amsterdam, Netherlands|University Medical Center Groningen, Groningen, Netherlands","https://ClinicalTrials.gov/show/NCT04125277"
426,"Proton Accelerated Partial Breast Irradiation","Enrolling by invitation","No Results Available","Breast Cancer","Radiation: Proton Accelerated Partial Breast Irradiation","University of Cincinnati","2019-0088","May 7, 2019","University of Cincinnati, Cincinnati, Ohio, United States","https://ClinicalTrials.gov/show/NCT03940248"
427,"A Pilot Trial of Preoperative Oral Microbiota-based Investigational New Drug","Not yet recruiting","No Results Available","Breast Cancer","Biological: RBX7455","Mayo Clinic|Rebiotix Inc.","19-004024","October 25, 2019",,"https://ClinicalTrials.gov/show/NCT04139993"
428,"Continuous Serrates Plane Block in Axillary Dissection","Recruiting","No Results Available","Breast Cancer","Procedure: Continuous serratus plane block","Arcispedale Santa Maria Nuova-IRCCS","CIMPAX BREAST","June 20, 2019","Ausl-Irccs Reggio Emilia, Reggio Emilia, RE, Italy","https://ClinicalTrials.gov/show/NCT03992859"
429,"Dual Anti-HER2 Therapy (Lapatinib and Trastuzumab) Plus Chemotherapy in HER2-positive MBC","Active, not recruiting","No Results Available","Breast Cancer",,"Fudan University","YOUNGBC-8","June 28, 2019","Biyun Wang, MD, Shanghai, Shanghai, China","https://ClinicalTrials.gov/show/NCT04001634"
430,"Efficacy and Tolerance of an Ovarian Stimulation Protocol Combining Follicle Stimulating Hormone (FSH) and Degarelix Acetate in Female Candidates for Fertility Preservation Before Chemotherapy for Breast Cancer","Recruiting","No Results Available","Invasive Ductal Breast Carcinoma","Drug: Degarelix injection(s)","Assistance Publique - Hôpitaux de Paris","P170407J|2018-000049-38","May 13, 2019","Hôpital Antoine Béclère, Clamart, France","https://ClinicalTrials.gov/show/NCT03947151"
431,"Evaluation of Pertuzumab-Trastuzumab and Taxane in the Standard Treatment of Metastatic Breast Cancer","Recruiting","No Results Available","Breast Neoplasms|HER-2 Gene Amplification",,"University Hospital, Brest","EPTTCSM (239BRC18.0129)","June 7, 2019","CHRU de Brest, Brest, France","https://ClinicalTrials.gov/show/NCT03979911"
