role,name,affiliation,address,trial_id,processed_name,first_name,gender,gender_probability,gender_sample_count,Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Other IDs,First Posted,Locations,URL
Study Chair,"Michael Lock, MD",London Health Sciences Centre/London Regional Cancer Program,,NCT03978663,michael lock,michael,male,0.99,245870,546,Three Fraction Radiation to Induce Immuno-Oncologic Response,Not yet recruiting,No Results Available,High-Risk Cancer|Locally Advanced Breast Cancer,Radiation: Neoadjuvant radiotherapy,Lawson Health Research Institute,112626,"June 7, 2019","London Regional Cancer Program, London, Ontario, Canada",https://ClinicalTrials.gov/show/NCT03978663
Principal Investigator,"Muriel Brackstone, MD PhD",London Health Sciences Centre/Lawson Health Research Institute,,NCT03978663,muriel brackstone,muriel,female,0.98,14732,546,Three Fraction Radiation to Induce Immuno-Oncologic Response,Not yet recruiting,No Results Available,High-Risk Cancer|Locally Advanced Breast Cancer,Radiation: Neoadjuvant radiotherapy,Lawson Health Research Institute,112626,"June 7, 2019","London Regional Cancer Program, London, Ontario, Canada",https://ClinicalTrials.gov/show/NCT03978663
Study Chair,"Brian Yaremko, MD",London Health Sciences Centre/London Regional Cancer Program,,NCT03978663,brian yaremko,brian,male,0.99,51483,546,Three Fraction Radiation to Induce Immuno-Oncologic Response,Not yet recruiting,No Results Available,High-Risk Cancer|Locally Advanced Breast Cancer,Radiation: Neoadjuvant radiotherapy,Lawson Health Research Institute,112626,"June 7, 2019","London Regional Cancer Program, London, Ontario, Canada",https://ClinicalTrials.gov/show/NCT03978663
Principal Investigator,"Michael Knopp, MD",Ohio State University Comprehensive Cancer Center,,NCT04063410,michael knopp,michael,male,0.99,245870,739,Evaluation of Perforator Phase Contrast Angiography in Developing Surgery Plans for Patients With Breast Cancer Undergoing Breast Reconstruction With Free-Flap Methods After Mastectomy,Not yet recruiting,No Results Available,Mammoplasty Patient,Procedure: Angiography|Procedure: MRI-Based Angiogram|Other: Quality-of-Life Assessment,Ohio State University Comprehensive Cancer Center|National Cancer Institute (NCI),OSU-18094|NCI-2018-03417|P30CA016058,"August 21, 2019","Ohio State University Comprehensive Cancer Center, Columbus, Ohio, United States",https://ClinicalTrials.gov/show/NCT04063410
Study Director,"Michael Schmitt, MD, PhD","Seattle Genetics, Inc.",,NCT03957096,michael schmitt,michael,male,0.99,245870,797,A Safety Study of SGN-CD47M in Patients With Solid Tumors,Recruiting,No Results Available,Soft Tissue Sarcoma|Colorectal Cancer|Head and Neck Squamous Cell Carcinoma|Non-small Cell Lung Carcinoma|Breast Carcinoma|Ovarian Carcinoma|Exocrine Pancreatic Carcinoma|Gastric Carcinoma|Melanoma,Drug: SGN-CD47M,"Seattle Genetics, Inc.",SGN47M-001,"May 21, 2019","Case Western Reserve University / University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States|Providence Portland Medical Center, Portland, Oregon, United States|Tennessee Oncology-Nashville/Sarah Cannon Research Institute, Nashville, Tennessee, United States|MD Anderson Cancer Center / University of Texas, Houston, Texas, United States|NEXT Oncology, San Antonio, Texas, United States",https://ClinicalTrials.gov/show/NCT03957096
Study Chair,"Jin Zhang, Pro.",Tianjin Medical University Cancer Institute and Hospital,,NCT03983096,jin zhang,jin,male,0.7,7587,32,Pegylated Liposomal Doxorubicin or Epirubicin in Neoadjuvant or Adjuvant Chemotherapy for Breast Cancer.,Not yet recruiting,No Results Available,Breast Cancer,,"Tianjin Medical University Cancer Institute and Hospital|CSPC Ouyi Pharmaceutical Co., Ltd.",CSPC-DMS-BC-13,"June 12, 2019","Jin Zhang, Tianjin, China",https://ClinicalTrials.gov/show/NCT03983096
Principal Investigator,Vasco Fonseca,"Hospital S Francisco Xavier - Ocidental Lisbon Hospital Center, Lisbon, Portugal",,NCT03831308,vasco fonseca,vasco,male,0.98,5355,33,Evaluating and Following Breast Cancer Patients in a Better Way,Not yet recruiting,No Results Available,Breast Cancer Female,Diagnostic Test: clinical and physical assessment,Centro Hospitalar Lisboa Ocidental|University of Lisbon,CentroHLO_EFBreastCancer,"February 5, 2019",,https://ClinicalTrials.gov/show/NCT03831308
Study Chair,"Pedro Sarmento, PhD",Faculty of Human Motricity - University of Lisbon,,NCT03831308,pedro sarmento,pedro,male,0.99,165413,33,Evaluating and Following Breast Cancer Patients in a Better Way,Not yet recruiting,No Results Available,Breast Cancer Female,Diagnostic Test: clinical and physical assessment,Centro Hospitalar Lisboa Ocidental|University of Lisbon,CentroHLO_EFBreastCancer,"February 5, 2019",,https://ClinicalTrials.gov/show/NCT03831308
Study Director,"ahmed a berry, PhD","Faculty of Medicine, Beni Suef University",,NCT04143282,ahmed a berry,ahmed,male,0.98,139051,34,Evaluation of the Effect of Metformin on Metastatic Breast Cancer as Adjuvant Treatment,Completed,No Results Available,Metastatic Breast Cancer,Drug: Metformin plus chemotherapy|Drug: Chemotherapy,Hager salah el din|Beni-Suef University,FWA00015574/6-01-2019/korany,"October 29, 2019","Beni-Seuf University Hospital, Banī Suwayf, Egypt",https://ClinicalTrials.gov/show/NCT04143282
Study Director,"ahmed h shaaban, MD","Faculty of Medicine, Beni Suef University",,NCT04143282,ahmed h shaaban,ahmed,male,0.98,139051,34,Evaluation of the Effect of Metformin on Metastatic Breast Cancer as Adjuvant Treatment,Completed,No Results Available,Metastatic Breast Cancer,Drug: Metformin plus chemotherapy|Drug: Chemotherapy,Hager salah el din|Beni-Suef University,FWA00015574/6-01-2019/korany,"October 29, 2019","Beni-Seuf University Hospital, Banī Suwayf, Egypt",https://ClinicalTrials.gov/show/NCT04143282
Study Director,"hoda m rabea, PhD","Faculty of Medicine, Beni Suef University",,NCT04143282,hoda m rabea,hoda,female,0.94,2444,34,Evaluation of the Effect of Metformin on Metastatic Breast Cancer as Adjuvant Treatment,Completed,No Results Available,Metastatic Breast Cancer,Drug: Metformin plus chemotherapy|Drug: Chemotherapy,Hager salah el din|Beni-Suef University,FWA00015574/6-01-2019/korany,"October 29, 2019","Beni-Seuf University Hospital, Banī Suwayf, Egypt",https://ClinicalTrials.gov/show/NCT04143282
Study Director,"Ahmed T. Awad, MD","professor of surgical oncology,Alexandria university",,NCT03900299,ahmed t. awad,ahmed,male,0.98,139051,110,Evaluating New Surgical Technique in Management of Female Patients With Operable Multifocal Breast Cancer,"Active, not recruiting",Has Results,Breast Cancer,Procedure: oncoplastic breast surgery,Alexandria University,multifocal breast cancer2018,"April 3, 2019","Faculty of medicine ,Alexandria university, Alexandria, Egypt",https://ClinicalTrials.gov/show/NCT03900299
Principal Investigator,"Mostafa M. Elsayed, Msc","Surgical oncology registrar,Alexandria university",,NCT03900299,mostafa m. elsayed,mostafa,male,0.98,14950,110,Evaluating New Surgical Technique in Management of Female Patients With Operable Multifocal Breast Cancer,"Active, not recruiting",Has Results,Breast Cancer,Procedure: oncoplastic breast surgery,Alexandria University,multifocal breast cancer2018,"April 3, 2019","Faculty of medicine ,Alexandria university, Alexandria, Egypt",https://ClinicalTrials.gov/show/NCT03900299
Principal Investigator,"Ahmed AH Abdellatif, PhD",Qassim University,,NCT04138342,ahmed ah abdellatif,ahmed,male,0.98,139051,467,Topical Fluorescent Nanoparticles Conjugated Somatostatin Analog for Suppression and Bioimaging Breast Cancer,Recruiting,No Results Available,Breast Cancer|Skin Cancer|Skin Diseases,Drug: Quantum dots coated with veldoreotide|Drug: Topical approved placebo,Al-Azhar University,Qassim QDs-VELD,"October 24, 2019","Assiut Clinic, Assiut, Egypt|Buraidah Clinic, Buraidah, Al Qassim, Saudi Arabia|Faculty of Pharmacy, Buraidah, Qassim, Saudi Arabia|Pharmaceutics dept., Faculty of Pharmacy, Qassim University, Buraidah, Qassim, Saudi Arabia",https://ClinicalTrials.gov/show/NCT04138342
Study Chair,Gilles Romieu,Institut du Cancer de Montpellier,,NCT04109326,gilles romieu,gilles,male,0.99,26205,35,Effect of a Program of Physical Activity and Nutritional Therapeutic Education in Breast Cancer Patients,Completed,No Results Available,Breast Cancer,Other: APAD,Institut du Cancer de Montpellier - Val d'Aurelle,VA2012/39|2012-A01648-35,"September 30, 2019","Institut Sainte Catherine, Avignon, France|Centre Oscar Lambret, Lille, France|Centre Léon Bérard, Lyon, France|CH Ambroise Paré, Marseille, France|ICM, Montpellier, France|CH Montélimar, Montélimar, France|Centre Eugène Marquis, Rennes, France|Institut de Cancéologie de l'Ouest, Saint-Herblain, France",https://ClinicalTrials.gov/show/NCT04109326
Principal Investigator,Gilles Berclaz,Brustzentrum Bern,,NCT03902977,gilles berclaz,gilles,male,0.99,26205,445,Effect of Quilting Sutures on Post-operative Drainage After Mastectomy and/or Axillary Lymph Node Dissection,Recruiting,No Results Available,Breast Cancer Female,Procedure: quilting|Procedure: conventional suture,"Gilles Berclaz, MD PD|University of Bern|StiftungLindenhof|Brustzentrum Bern der Lindenhofgruppe",BZ01/17|17-17-F,"April 4, 2019","Brustzentrum Bern, Bern, Switzerland",https://ClinicalTrials.gov/show/NCT03902977
Principal Investigator,"Gilles FREYER, Pr",Centre Hospitalier Lyon Sud,,NCT04158362,gilles freyer,gilles,male,0.99,26205,548,Endocrine Therapy With Abemaciclib or Chemotherapy as Initial Metastatic Treatment in ER+/HER2- Breast Cancer,Suspended,No Results Available,Cancer Metastatic,Drug: Paclitaxel injection|Drug: Capecitabine tablets|Drug: Letrozole 2.5mg|Drug: Anastrozole 1mg|Drug: Fulvestrant Prefilled Syringe|Drug: Abemaciclib,UNICANCER,UC-0140/1901|2019-000260-14,"November 8, 2019","Centre Hospitalier Lyon Sud, Pierre Benite, France|Centre Eugène Marquis, Rennes, France",https://ClinicalTrials.gov/show/NCT04158362
Principal Investigator,"Solveig Hofvind, PhD",Cancer Registry of Norway,,NCT03877029,solveig hofvind,solveig,female,0.97,927,37,Long-term Effects of Breast Cancer Treatment,Not yet recruiting,No Results Available,Breast Cancer,,Cancer Registry of Norway|Extrastiftelsen,2019/FO244363,"March 15, 2019",,https://ClinicalTrials.gov/show/NCT03877029
Principal Investigator,"Solveig Hofvind, PhD",Cancer Registry of Norway,,NCT03852953,solveig hofvind,solveig,female,0.97,927,632,Under- and Overdiagnosis in BreastScreen Norway,"Active, not recruiting",No Results Available,Breast Cancer,Other: Under- or overdiagnosed cancer|Other: Screening,Cancer Registry of Norway|Extrastiftelsen,17/222|2018/FO201362,"February 25, 2019","Cancer Registry of Norway, Oslo, Norway",https://ClinicalTrials.gov/show/NCT03852953
Principal Investigator,"Viviana E Galimberti, MD",IEO,,NCT03920488,viviana e galimberti,viviana,female,0.99,11961,38,Next-Generation Sequencing-based Germline and Somatic Genetic Testing in Triple-negative Breast Cancer,Recruiting,No Results Available,Triple Negative Breast Cancer,,European Institute of Oncology,IEO 0761/,"April 19, 2019","Istituto Europeo di Oncologia, Milan, Italy",https://ClinicalTrials.gov/show/NCT03920488
Principal Investigator,"Lisa Mullen, MD",JHU School of Medicine,,NCT03863522,lisa mullen,lisa,female,0.98,102796,39,Automated Method for Breast Cancer Detection,Recruiting,No Results Available,Breast Cancer Diagnosis,Procedure: Fine needle aspiration|Device: Cancer Detection cartridge,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,J18138|IRB00172441,"March 5, 2019","Johns Hopkins Hospital Outpatient Center, Baltimore, Maryland, United States|Johns Hopkins Medical Imaging at Green spring Station, Lutherville-Timonium, Maryland, United States",https://ClinicalTrials.gov/show/NCT03863522
Principal Investigator,"Lisa D Yee, MD",City of Hope Medical Center,,NCT03865992,lisa d yee,lisa,female,0.98,102796,317,Curcumin in Reducing Joint Pain in Breast Cancer Survivors With Aromatase Inhibitor-Induced Joint Disease,Recruiting,No Results Available,Breast Cancer|Joint Pain,Dietary Supplement: Curcumin|Other: Placebo|Other: Nanoemulsion|Other: Quality-of-Life Assessment|Behavioral: Questionnaire,City of Hope Medical Center|National Cancer Institute (NCI),18432|NCI-2018-03787|UG1CA189823,"March 7, 2019","City of Hope Medical Center, Duarte, California, United States|City of Hope Rancho Cucamonga, Rancho Cucamonga, California, United States|City of Hope South Pasadena, South Pasadena, California, United States|Ohio State University Comprehensive Cancer Center, Columbus, Ohio, United States",https://ClinicalTrials.gov/show/NCT03865992
Principal Investigator,"Lisa J Taylor-Swanson, PhD LAc","Associate Professor of College of Nursing, Licensed Acupunturist",,NCT04067544,lisa j taylor-swanson,lisa,female,0.98,102796,702,Acupuncture Treatment of Chemotherapy-Induced Peripheral Neuropathy in Women,Recruiting,No Results Available,Chemotherapy-induced Peripheral Neuropathy|Breast Cancer Female|Gynecologic Cancer,Device: Acupuncture,University of Utah,107709,"August 26, 2019","Huntsman Cancer Institute, Salt Lake City, Utah, United States",https://ClinicalTrials.gov/show/NCT04067544
Principal Investigator,"Weichuan Yu, Ph.D","Department of Electronic and computer engineering, HKUST",,NCT03941639,weichuan yu,weichuan,male,1.0,2,40,Using Imaging Data and Genomic Data to Predict Metastasis of Breast Cancer After Treatment,Recruiting,No Results Available,Breast Cancer,,"Chinese University of Hong Kong|Department of Electronic and computer engineering, HKUST|Department of clinical oncology, CUHK|Department of Anatomical and Cellular Pathology,PWH|Department of Surgery, North District Hospital",2019.089,"May 8, 2019","The Chinese University of Hong Kong, Prince of Wale Hospital, Hong Kong, Shatin, Hong Kong",https://ClinicalTrials.gov/show/NCT03941639
Principal Investigator,"Renske Altena, MD, PhD",Karolinska University Hospital,,NCT03894007,renske altena,renske,female,0.99,460,43,Improving Pre-operative Systemic Therapy for Human Epidermal Growth Factor Receptor 2 (HER2) Amplified Breast Cancer,Recruiting,No Results Available,Early-stage Breast Cancer|HER2-positive Breast Cancer,Drug: Docetaxel|Drug: Carboplatin|Drug: Trastuzumab|Drug: Pertuzumab|Drug: Epirubicin|Drug: Cyclophosphamide|Drug: Atezolizumab|Drug: Trastuzumab emtansine,Renske Altena|Karolinska University Hospital,PREDIX II HER2|2018-004457-24,"March 28, 2019","Sahlgrenska universitetssjukhuset, Göteborg, Sweden|Skånes universitetssjukhus, Malmö, Sweden|Karolinska universitetssjukhuset, Stockholm, Sweden|Länssjukhuset Sundsvall, Sundsvall, Sweden|Norrlands universitetssjukhus, Umeå, Sweden|Örebro universitetssjukhus, Örebro, Sweden",https://ClinicalTrials.gov/show/NCT03894007
Study Director,"Jonas Bergh, MD, PhD",Karolinska Institutet,,NCT03894007,jonas bergh,jonas,male,0.99,25038,43,Improving Pre-operative Systemic Therapy for Human Epidermal Growth Factor Receptor 2 (HER2) Amplified Breast Cancer,Recruiting,No Results Available,Early-stage Breast Cancer|HER2-positive Breast Cancer,Drug: Docetaxel|Drug: Carboplatin|Drug: Trastuzumab|Drug: Pertuzumab|Drug: Epirubicin|Drug: Cyclophosphamide|Drug: Atezolizumab|Drug: Trastuzumab emtansine,Renske Altena|Karolinska University Hospital,PREDIX II HER2|2018-004457-24,"March 28, 2019","Sahlgrenska universitetssjukhuset, Göteborg, Sweden|Skånes universitetssjukhus, Malmö, Sweden|Karolinska universitetssjukhuset, Stockholm, Sweden|Länssjukhuset Sundsvall, Sundsvall, Sweden|Norrlands universitetssjukhus, Umeå, Sweden|Örebro universitetssjukhus, Örebro, Sweden",https://ClinicalTrials.gov/show/NCT03894007
Study Director,Ke Chen,"Suzhou Kintor Pharmaceuticals,inc",,NCT04103853,ke chen,ke,male,0.8,1541,44,"Safety, Tolerability, and Pharmacokinetics of Proxalutamide Therapy in Women With Metastatic Breast Cancer","Active, not recruiting",No Results Available,Metastatic Breast Cancer,Drug: Proxalutamide,"Suzhou Kintor Pharmaceutical Inc,|Beijing Cancer Hospital|Tianjin Medical University Cancer Institute and Hospital|Sun Yat-sen University|Ruijin Hospital|The First Affiliated Hospital with Nanjing Medical University|Hebei Medical University Fourth Hospital|Hunan Cancer Hospital",GT0918-CN-2001,"September 26, 2019","Beijing Cancer Hospital, Beijing, Beijing, China|Sun-Yat-sen University Cancer center, Guangzhou, Fujian, China|The Fourth Hospital of Hebei Medical University, Shijiazhuang, Hebei, China|Hunan Cancer Hospital, Changsha, Hunan, China|Jiangsu Province Hospital, Nanjing, Jiangsu, China|Ruijin Hospital, Shanghai Jiaotong University School of Medicine, Shanghai, Shanghai, China|Tianjin Medical University Cancer Institute and Hospital, Tianjin, Tianjin, China",https://ClinicalTrials.gov/show/NCT04103853
Principal Investigator,"Alessandra Franzetti Pellanda, MD",Clinica Luganese Moncucco,,NCT04002570,alessandra franzetti pellanda,alessandra,female,0.99,47882,47,Adjuvant Radiotherapy on Circulating Cells in Breast Cancer Patients,Recruiting,No Results Available,Breast Cancer,Other: blood samples collection,"Clinica Luganese Moncucco|Curzio Rüegg, MD, Head of Department, University of Fribourg|Swiss National Science Foundation|Tsoutsou Pelagia MD, Head of Radation Therapy Department",CirculatingCellsBreast-RT,"June 28, 2019","Clinica Luganese Moncucco, Lugano, Ticino, Switzerland",https://ClinicalTrials.gov/show/NCT04002570
